Date,Merchant,Amount,Account,Type
2024-01-01,Payroll Direct Deposit,3200.00,Checking,Income
2024-01-03,Trader Joe's,-62.45,Checking,Expense
2024-01-05,Chevron,-48.20,Checking,Expense
2024-01-06,Netflix,-15.99,Checking,Expense
2024-01-07,Starbucks,-6.75,Checking,Expense
2024-01-08,Amazon,-34.99,Checking,Expense
2024-01-09,Rent Payment,-1450.00,Checking,Expense
2024-01-10,PG&E Utility,-88.50,Checking,Expense
2024-01-11,Spotify,-9.99,Checking,Expense
2024-01-12,Safeway,-91.30,Checking,Expense
2024-01-13,Shell Gas Station,-52.10,Checking,Expense
2024-01-14,Chipotle,-12.80,Checking,Expense
2024-01-15,Gym Membership,-40.00,Checking,Expense
2024-01-16,CVS Pharmacy,-23.45,Checking,Expense
2024-01-17,Uber,-18.50,Checking,Expense
2024-01-18,Whole Foods,-77.20,Checking,Expense
2024-01-19,Hulu,-17.99,Checking,Expense
2024-01-20,Target,-65.40,Checking,Expense
2024-01-21,Starbucks,-7.25,Checking,Expense
2024-01-22,AT&T Wireless,-85.00,Checking,Expense
2024-01-23,Costco,-134.60,Checking,Expense
2024-01-24,McDonald's,-9.45,Checking,Expense
2024-01-25,Amazon,-22.99,Checking,Expense
2024-01-26,Lyft,-14.20,Checking,Expense
2024-01-27,Walgreens,-31.80,Checking,Expense
2024-01-28,Panera Bread,-11.50,Checking,Expense
2024-01-29,Apple iTunes,-4.99,Checking,Expense
2024-01-30,Interest Income,12.50,Savings,Income
2024-02-01,Payroll Direct Deposit,3200.00,Checking,Income
2024-02-02,Trader Joe's,-58.90,Checking,Expense
2024-02-03,BP Gas,-44.75,Checking,Expense
2024-02-04,Netflix,-15.99,Checking,Expense
2024-02-05,Amazon,-89.99,Checking,Expense
2024-02-07,Starbucks,-8.10,Checking,Expense
2024-02-08,Rent Payment,-1450.00,Checking,Expense
2024-02-09,Spotify,-9.99,Checking,Expense
2024-02-10,PG&E Utility,-72.30,Checking,Expense
2024-02-11,Safeway,-104.20,Checking,Expense
2024-02-12,Chevron,-39.80,Checking,Expense
2024-02-13,Chipotle,-14.25,Checking,Expense
2024-02-14,Valentine's Dinner,-87.50,Checking,Expense
